Region,Category,Sub-Category,Sales,Profit,Customer Name
LATAM,Furniture,Phones,2021.62,322.06,Carlos Ruiz
Africa,Technology,Copiers,2409.78,1179.72,Li Wei
APAC,Furniture,Storage,3144.98,1300.05,Emma Watson
Africa,Technology,Binders,4370.91,206.84,Amina Ali
Africa,Office Supplies,Paper,4920.74,-26.26,Emma Watson
Europe,Office Supplies,Phones,3846.0,1061.05,Amina Ali
APAC,Technology,Binders,2100.48,49.61,Carlos Ruiz
APAC,Technology,Copiers,2118.36,1145.23,Jane Smith
APAC,Technology,Storage,3693.16,347.48,Carlos Ruiz
Africa,Office Supplies,Copiers,1209.11,835.1,Carlos Ruiz
LATAM,Technology,Paper,570.16,-308.93,John Doe
APAC,Office Supplies,Binders,1786.02,747.72,Li Wei
Africa,Furniture,Binders,1450.45,403.54,Amina Ali
Europe,Office Supplies,Binders,1495.61,673.22,Jane Smith
LATAM,Office Supplies,Paper,1183.37,-163.97,Amina Ali
Europe,Furniture,Paper,229.62,973.75,Emma Watson
LATAM,Office Supplies,Copiers,109.01,1225.59,Amina Ali
Africa,Technology,Chairs,4938.86,-66.52,Emma Watson
North America,Technology,Copiers,2150.31,-308.57,Li Wei
LATAM,Office Supplies,Storage,1933.95,-452.72,Emma Watson
Europe,Technology,Phones,3404.64,783.94,Amina Ali
Africa,Office Supplies,Binders,1106.9,714.19,Amina Ali
LATAM,Technology,Chairs,4750.81,593.39,Emma Watson
North America,Technology,Phones,3936.0,-36.11,Carlos Ruiz
North America,Office Supplies,Chairs,465.27,281.81,Li Wei
APAC,Technology,Copiers,2099.55,688.95,John Doe
APAC,Office Supplies,Paper,4398.01,493.53,Jane Smith
Europe,Technology,Binders,4724.77,1475.57,Amina Ali
LATAM,Technology,Copiers,2347.66,-227.12,Jane Smith
LATAM,Furniture,Phones,3074.79,890.29,John Doe
APAC,Furniture,Phones,851.83,308.64,Jane Smith
LATAM,Office Supplies,Phones,4956.02,356.4,John Doe
LATAM,Furniture,Phones,1173.73,935.2,Emma Watson
North America,Office Supplies,Phones,4714.8,884.87,Carlos Ruiz
APAC,Furniture,Chairs,3255.24,1482.51,Amina Ali
Africa,Technology,Copiers,3046.53,-243.21,John Doe
APAC,Office Supplies,Binders,2573.19,-291.78,Jane Smith
Africa,Office Supplies,Paper,1168.74,948.68,Amina Ali
North America,Technology,Paper,899.11,656.77,Carlos Ruiz
Europe,Office Supplies,Copiers,1118.02,48.32,Emma Watson
LATAM,Office Supplies,Copiers,948.46,-341.16,Amina Ali
